"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Book Reviews Suggestion: #Bookreviews: The #Magic Kingdom: Walt #Disney and the #American Way of Life... https://t.co/gcCo5vL3Wm",FALSE,0,NA,2017-02-17 22:11:04,FALSE,NA,"832714005294641152",NA,"<a href=""http://tweetymail.com"" rel=""nofollow"">tweetymail</a>","the_elibrarian",0,FALSE,FALSE,NA,NA
"2","Tsum tsum fans,check out this adorable Mickey &amp; Minnie set!!!! Click on this link for more great #Disney products -‚Ä¶ https://t.co/5N8bTOrIJP",FALSE,0,NA,2017-02-17 22:10:15,TRUE,NA,"832713797378908160",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Beyond_Kingdoms",0,FALSE,FALSE,NA,NA
"3","RT @TravelLive_Life: Suffice to say, had a great time on Hyperspace Mountain at Hong Long Disney. Ì†ΩÌ∫Ä

#Disney @MyDisneyTweets 
#StarWars htt‚Ä¶",FALSE,0,NA,2017-02-17 22:09:53,FALSE,NA,"832713706152800256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hotpotato01",1,TRUE,FALSE,NA,NA
"4","#ESPN is no longer 'printing cash' for #Disney: https://t.co/5eiEOxsFGj",FALSE,0,NA,2017-02-17 21:52:04,FALSE,NA,"832709225243672576",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","SportsTalkFLA",0,FALSE,FALSE,NA,NA
"5","Walt Disney's Colorful T-Shirt He &amp; Mickey Mouse In Theme Park SIZE Small Women #Disney https://t.co/LLtToCGB1c via @eBay",FALSE,0,NA,2017-02-17 21:50:15,FALSE,NA,"832708765409435649",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CrankyOldHag",0,FALSE,FALSE,NA,NA
"6","Eating with #Disney #Princesses https://t.co/dMkFwLtHw1 Dinner Review #travelblogger",FALSE,0,NA,2017-02-17 21:40:40,FALSE,NA,"832706354951319555",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>","KatCandyfloss",1,FALSE,FALSE,NA,NA
"7","Every house needs subtle #disney accessories! #disneyeverywhere #ourfirsthome #diy #decorating @‚Ä¶ https://t.co/rKutFtdXHN",FALSE,1,NA,2017-02-17 21:39:34,FALSE,NA,"832706077246369792",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","disneymomathome",0,FALSE,FALSE,NA,NA
"8","@WDWToday This is awesome! So glad he was found to be recognized for going above and beyond! #wdw #disney #disneyworld #photopass",FALSE,0,"WDWToday",2017-02-17 21:37:12,FALSE,"832362686767841280","832705483744100352","3047974969","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChristaJNewman",0,FALSE,FALSE,NA,NA
"9","Curled up with a peppermint tea and this. I know how to have a #wildfridaynight Ì†ΩÌ∏Ñ #disney #thehunchbackofnotredame‚Ä¶ https://t.co/33wwxUfI0k",FALSE,0,NA,2017-02-17 21:33:26,TRUE,NA,"832704535952969730",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KatyH714",0,FALSE,FALSE,NA,NA
"10","Star Wars Rebel Friends Cookie Cutters Luke Leia R2-D2 and more #Disney #StarWars #R2D2 #Leia #Cookies #eBay https://t.co/1eeCsj9drr",FALSE,0,NA,2017-02-17 21:30:23,FALSE,NA,"832703767602606080",NA,"<a href=""http://www.dropial.com"" rel=""nofollow"">Dropial App</a>","TheGroveShop",0,FALSE,FALSE,NA,NA
"11","RT @DouglasMacKrell: Learn all about #Disney's banned TV special about #UFO and #Aliens #SecretScreening LINK IN MY BIO! https://t.co/5pwOo‚Ä¶",FALSE,0,NA,2017-02-17 21:30:21,FALSE,NA,"832703759146954752",NA,"<a href=""http://ctrlq.org/"" rel=""nofollow"">Mice Town </a>","miceears",1,TRUE,FALSE,NA,NA
"12","RT @DouglasMacKrell: Learn all about #Disney's banned TV special about #UFO and #Aliens #SecretScreening LINK IN MY BIO! https://t.co/o15dd‚Ä¶",FALSE,0,NA,2017-02-17 21:29:45,FALSE,NA,"832703605971046400",NA,"<a href=""http://ctrlq.org/"" rel=""nofollow"">Mice Town </a>","miceears",1,TRUE,FALSE,NA,NA
"13","RT @thedisneystory: The original #Disney family vacation. https://t.co/wGfWuizjdx",FALSE,0,NA,2017-02-17 21:29:34,FALSE,NA,"832703559829483520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DiLev23",7,TRUE,FALSE,NA,NA
"14","Social Media #Intern, #Summer 2017 (#NewYork) at #Disney #job https://t.co/CrqaMRk6EQ #DisneyJobs https://t.co/yjQqmbSZWb",FALSE,0,NA,2017-02-17 21:28:50,FALSE,NA,"832703376487899136",NA,"<a href=""http://workfor.us/jobboard"" rel=""nofollow"">Work For Us</a>","joanlefosse",0,FALSE,FALSE,NA,NA
"15","Learn all about #Disney's banned TV special about #UFO and #Aliens #SecretScreening LINK IN MY BIO! https://t.co/o15dd8uumk",FALSE,1,NA,2017-02-17 21:27:52,FALSE,NA,"832703133038043136",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","DouglasMacKrell",1,FALSE,FALSE,NA,NA
"16","Learn all about #Disney's banned TV special about #UFO and #Aliens #SecretScreening LINK IN MY BIO! https://t.co/5pwOoubjFR",FALSE,2,NA,2017-02-17 21:27:39,FALSE,NA,"832703079631892480",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","DouglasMacKrell",1,FALSE,FALSE,NA,NA
"17","Check out  Beauty And The Beast VHS Tape Black Diamond Walt Disney Movie Tested  https://t.co/NPLYmrzSqD via @eBay #Disney #blackdiamond",FALSE,0,NA,2017-02-17 21:25:46,FALSE,NA,"832702603339313161",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Bethany2Harris",0,FALSE,FALSE,NA,NA
"18","Suffice to say, had a great time on Hyperspace Mountain at Hong Long Disney. Ì†ΩÌ∫Ä

#Disney @MyDisneyTweets 
#StarWars https://t.co/lpQZJQkeWU",FALSE,3,NA,2017-02-17 21:24:56,FALSE,NA,"832702396409139202",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TravelLive_Life",1,FALSE,FALSE,NA,NA
"19","Great news for #Disney &amp; #MaryPoppinsReturns fans! https://t.co/yB94r1kIiH",FALSE,1,NA,2017-02-17 21:23:56,FALSE,NA,"832702144843128834",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CarolynTopol",0,FALSE,FALSE,NA,NA
"20","This!!!!! 
‚¨á‚¨á‚¨á‚¨á‚¨á‚¨á‚¨á‚¨á‚¨á‚¨á
#darkwingduck #disney https://t.co/xUoMHeI19f",FALSE,0,NA,2017-02-17 21:22:23,FALSE,NA,"832701752898048000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realshaneruck",0,FALSE,FALSE,NA,NA
"21","Merchandising #Intern, #Summer 2017 at #Disney (#NewYork) #job https://t.co/r9XObq8VIG #DisneyJobs https://t.co/Hpeb5WW6Px",FALSE,0,NA,2017-02-17 21:21:57,FALSE,NA,"832701645322457092",NA,"<a href=""http://workfor.us/jobboard"" rel=""nofollow"">Work For Us</a>","8True",0,FALSE,FALSE,NA,NA
"22","RT @jfrostphoto: Check out this item in my Etsy shop https://t.co/aKfSD5MjSd
#tiger #bigcats #Disney",FALSE,0,NA,2017-02-17 21:21:21,FALSE,NA,"832701491815161856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jfrostphoto",1,TRUE,FALSE,NA,NA
"23","Angela Lansbury Joins The Cast Of Mary Poppins Returns https://t.co/vrFzh9lwH5 #disney #movies #angelalansbury",FALSE,1,NA,2017-02-17 21:19:47,FALSE,NA,"832701099429732353",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","comic411",0,FALSE,FALSE,NA,NA
"24","Some great Disney cosplays! #katsucon #cosplay #disney #disneycosplay #genderbend #hercules‚Ä¶ https://t.co/9HA7WV0mdg",FALSE,0,NA,2017-02-17 21:19:07,FALSE,NA,"832700932278276096",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","KristinTangel",0,FALSE,FALSE,"-77.0175323","38.7830887"
